Species,thermal_limit,collection_latitude,Zone,Source
Adenomera andreae,35.24814815,-12.568611,tropical,von May et al. (2019)
Allobates conspicuus,34.1,-12.568611,tropical,von May et al. (2019)
Allobates femoralis,39.6,-12.568611,tropical,von May et al. (2019)
Allobates trilineatus,33.13333333,-12.568611,tropical,von May et al. (2019)
Amazophrynella javierbustamantei,32.05,-12.568611,tropical,von May et al. (2019)
Ameerega hahneli,37.06153846,-12.568611,tropical,von May et al. (2019)
Ameerega trivittata,37.95,-12.568611,tropical,von May et al. (2019)
Chiasmocleis bassleri,37.2,-12.568611,tropical,von May et al. (2019)
Chiasmocleis royi,37.86956522,-12.568611,tropical,von May et al. (2019)
Ctenophryne geayi,38.32222222,-12.568611,tropical,von May et al. (2019)
Dendropsophus koechlini,38.65,-12.568611,tropical,von May et al. (2019)
Dendropsophus leucophyllatus,39.6,-12.568611,tropical,von May et al. (2019)
Dendropsophus minutus,34.07,-12.568611,tropical,von May et al. (2019)
Dendropsophus kamagarini,36.8,-12.568611,tropical,von May et al. (2019)
Dendropsophus schubarti,36.04,-12.568611,tropical,von May et al. (2019)
Dendropsophus triangulum,37.33333333,-12.568611,tropical,von May et al. (2019)
Edalorhina perezi,38.04666667,-12.568611,tropical,von May et al. (2019)
Elachistocleis muiraquitan,39.83333333,-12.568611,tropical,von May et al. (2019)
Engystomops freibergi,36.41428571,-12.568611,tropical,von May et al. (2019)
Hamptophryne boliviana,38.20625,-12.568611,tropical,von May et al. (2019)
Boana cinerascens,38.55,-12.568611,tropical,von May et al. (2019)
Boana geographica,37.425,-12.568611,tropical,von May et al. (2019)
Boana lanciformis,40.7,-12.568611,tropical,von May et al. (2019)
Boana sp. G,36.91666667,-12.568611,tropical,von May et al. (2019)
Boana punctata,39.3,-12.568611,tropical,von May et al. (2019)
Leptodactylus bolivianus,36.45,-12.568611,tropical,von May et al. (2019)
Leptodactylus didymus,36,-12.568611,tropical,von May et al. (2019)
Leptodactylus leptodactyloides,37.43333333,-12.568611,tropical,von May et al. (2019)
Leptodactylus petersii,37.68571429,-12.568611,tropical,von May et al. (2019)
Lithodytes lineatus,38.2,-12.568611,tropical,von May et al. (2019)
Noblella myrmecoides,30.85555556,-12.568611,tropical,von May et al. (2019)
Oreobates cruralis,34.9875,-12.568611,tropical,von May et al. (2019)
Oreobates quixensis,37.73333333,-12.568611,tropical,von May et al. (2019)
Osteocephalus buckleyi,38.3,-12.568611,tropical,von May et al. (2019)
Phyllomedusa camba,40.3,-12.568611,tropical,von May et al. (2019)
Phyllomedusa vaillantii,39.43333333,-12.568611,tropical,von May et al. (2019)
Pristimantis buccinator,32.3,-12.568611,tropical,von May et al. (2019)
Pristimantis carvalhoi,31.525,-12.568611,tropical,von May et al. (2019)
Pristimantis fenestratus,33.43333333,-12.568611,tropical,von May et al. (2019)
Pristimantis ockendeni,29.9875,-12.568611,tropical,von May et al. (2019)
Pristimantis reichlei,32.78974359,-12.568611,tropical,von May et al. (2019)
Pristimantis toftae,31.65882353,-12.568611,tropical,von May et al. (2019)
Ranitomeya sirensis,38.03333333,-12.568611,tropical,von May et al. (2019)
Rhinella margaritifera,36.84444444,-12.568611,tropical,von May et al. (2019)
Rhinella marina,42.6,-12.568611,tropical,von May et al. (2019)
Scarthyla goinorum,35.9,-12.568611,tropical,von May et al. (2019)
Scinax ictericus,38.68333333,-12.568611,tropical,von May et al. (2019)
Scinax ruber,40.25,-12.568611,tropical,von May et al. (2019)
Sphaenorhynchus lacteus,39.9,-12.568611,tropical,von May et al. (2019)
Trachycephalus typhonius,40.45,-12.568611,tropical,von May et al. (2019)
Adenomera andreae,12.76666667,-12.568611,tropical,von May et al. (2019)
Allobates conspicuus,13.46666667,-12.568611,tropical,von May et al. (2019)
Allobates femoralis,12.9625,-12.568611,tropical,von May et al. (2019)
Allobates trilineatus,9.95,-12.568611,tropical,von May et al. (2019)
Amazophrynella javierbustamantei,NA,-12.568611,tropical,von May et al. (2019)
Ameerega hahneli,11.55,-12.568611,tropical,von May et al. (2019)
Ameerega trivittata,10.0125,-12.568611,tropical,von May et al. (2019)
Chiasmocleis bassleri,7.85,-12.568611,tropical,von May et al. (2019)
Chiasmocleis royi,8.4,-12.568611,tropical,von May et al. (2019)
Ctenophryne geayi,10.05,-12.568611,tropical,von May et al. (2019)
Dendropsophus koechlini,7.833333333,-12.568611,tropical,von May et al. (2019)
Dendropsophus leucophyllatus,NA,-12.568611,tropical,von May et al. (2019)
Dendropsophus minutus,NA,-12.568611,tropical,von May et al. (2019)
Dendropsophus kamagarini,9.51,-12.568611,tropical,von May et al. (2019)
Dendropsophus schubarti,7.333333333,-12.568611,tropical,von May et al. (2019)
Dendropsophus triangulum,11.2,-12.568611,tropical,von May et al. (2019)
Edalorhina perezi,11.92,-12.568611,tropical,von May et al. (2019)
Elachistocleis muiraquitan,8.25,-12.568611,tropical,von May et al. (2019)
Engystomops freibergi,8.3,-12.568611,tropical,von May et al. (2019)
Hamptophryne boliviana,4.9,-12.568611,tropical,von May et al. (2019)
Boana cinerascens,10.5,-12.568611,tropical,von May et al. (2019)
Boana geographica,NA,-12.568611,tropical,von May et al. (2019)
Boana lanciformis,14.95,-12.568611,tropical,von May et al. (2019)
Boana sp. G,NA,-12.568611,tropical,von May et al. (2019)
Boana punctata,11.75,-12.568611,tropical,von May et al. (2019)
Leptodactylus bolivianus,10.7,-12.568611,tropical,von May et al. (2019)
Leptodactylus didymus,11.3,-12.568611,tropical,von May et al. (2019)
Leptodactylus leptodactyloides,11.7,-12.568611,tropical,von May et al. (2019)
Leptodactylus petersii,15.2,-12.568611,tropical,von May et al. (2019)
Lithodytes lineatus,10.53333333,-12.568611,tropical,von May et al. (2019)
Noblella myrmecoides,9.8,-12.568611,tropical,von May et al. (2019)
Oreobates cruralis,NA,-12.568611,tropical,von May et al. (2019)
Oreobates quixensis,7.52,-12.568611,tropical,von May et al. (2019)
Osteocephalus buckleyi,12.7,-12.568611,tropical,von May et al. (2019)
Phyllomedusa camba,13.8,-12.568611,tropical,von May et al. (2019)
Phyllomedusa vaillantii,NA,-12.568611,tropical,von May et al. (2019)
Pristimantis buccinator,8.257142857,-12.568611,tropical,von May et al. (2019)
Pristimantis carvalhoi,11.7625,-12.568611,tropical,von May et al. (2019)
Pristimantis fenestratus,13.96666667,-12.568611,tropical,von May et al. (2019)
Pristimantis ockendeni,NA,-12.568611,tropical,von May et al. (2019)
Pristimantis reichlei,7.85,-12.568611,tropical,von May et al. (2019)
Pristimantis toftae,10.8,-12.568611,tropical,von May et al. (2019)
Ranitomeya sirensis,12.7,-12.568611,tropical,von May et al. (2019)
Rhinella margaritifera,11.2,-12.568611,tropical,von May et al. (2019)
Rhinella marina,NA,-12.568611,tropical,von May et al. (2019)
Scarthyla goinorum,NA,-12.568611,tropical,von May et al. (2019)
Scinax ictericus,NA,-12.568611,tropical,von May et al. (2019)
Scinax ruber,NA,-12.568611,tropical,von May et al. (2019)
Sphaenorhynchus lacteus,NA,-12.568611,tropical,von May et al. (2019)
Trachycephalus typhonius,NA,-12.568611,tropical,von May et al. (2019)
Craugastor_longirostris,6,-3.3286,tropical,Pintanel et al. (2019)
P._achatinus_POP_1,6.2,-0.0879,tropical,Pintanel et al. (2019)
P._latidiscus,9.5,1.0252,tropical,Pintanel et al. (2019)
P._laticlavius_POP_1,7.85,1.0252,tropical,Pintanel et al. (2019)
P._matidiktyo,5.8,-1.3548,tropical,Pintanel et al. (2019)
P._incomptus,NA,-1.3619,tropical,Pintanel et al. (2019)
P._quaquaversus,NA,-1.3619,tropical,Pintanel et al. (2019)
P._achatinus_POP_2,6.08,0.3097,tropical,Pintanel et al. (2019)
P._crenunguis,5.45,0.3097,tropical,Pintanel et al. (2019)
P._crucifer,5.7,0.3097,tropical,Pintanel et al. (2019)
P._parvillus,4.7,0.3097,tropical,Pintanel et al. (2019)
P._trachyblepharis,4.98,-4.112,tropical,Pintanel et al. (2019)
P._laticlavius_POP_2,4.18,0.953,tropical,Pintanel et al. (2019)
P._bicantus_POP_1,4.4,-2.0693,tropical,Pintanel et al. (2019)
P._bicantus_POP_2,4.25,-0.4496,tropical,Pintanel et al. (2019)
P._actites,4.9,-0.9713,tropical,Pintanel et al. (2019)
P._unistrigatus_POP_1,-1.84,-0.9713,tropical,Pintanel et al. (2019)
P._vertebralis,1.67,-0.9364,tropical,Pintanel et al. (2019)
P._riveti,-2.09,-2.8431,tropical,Pintanel et al. (2019)
P._phoxocephalus,0.35,-0.9618,tropical,Pintanel et al. (2019)
P._unistrigatus_POP_2,-1.92,-0.1873,tropical,Pintanel et al. (2019)
P._pycnodermis,-2.05,-2.1796,tropical,Pintanel et al. (2019)
P._curtipes,-3,-0.327,tropical,Pintanel et al. (2019)
P._festae,-3,-0.3221,tropical,Pintanel et al. (2019)
Craugastor_longirostris,40.7,-3.3286,tropical,Pintanel et al. (2019)
P._achatinus_POP_1,39.5,-0.0879,tropical,Pintanel et al. (2019)
P._latidiscus,37.2,1.0252,tropical,Pintanel et al. (2019)
P._laticlavius_POP_1,33.9,1.0252,tropical,Pintanel et al. (2019)
